what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1596613297328
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1596613297328
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1596613297329
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1596613297329
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1596613297329
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1596613297329
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1596613297330
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1596613297330
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1596613297330
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1596613297330
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1596613297331
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1596613297332
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1596613297338
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1596613297339
os,sysinfo,,,"win32",1596613297341
arch,sysinfo,,,"x86_64",1596613297341
ws,sysinfo,,,"win32",1596613297341
locale,sysinfo,,,"en_US",1596613297341
processors,sysinfo,,,"8",1596613297341
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1596613297341
java.runtime.version,sysinfo,,,"1.8.0_241-b07",1596613297341
java.specification.name,sysinfo,,,"Java Platform API Specification",1596613297341
java.specification.vendor,sysinfo,,,"Oracle Corporation",1596613297341
java.specification.version,sysinfo,,,"1.8",1596613297341
java.vendor,sysinfo,,,"Oracle Corporation",1596613297341
java.version,sysinfo,,,"1.8.0_241",1596613297341
java.vm.info,sysinfo,,,"mixed mode",1596613297341
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1596613297341
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1596613297341
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1596613297341
java.vm.specification.version,sysinfo,,,"1.8",1596613297341
java.vm.vendor,sysinfo,,,"Oracle Corporation",1596613297341
java.vm.version,sysinfo,,,"25.241-b07",1596613297341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596613303355
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596613426594
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1596613426610
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596613428846
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596614417288
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596614421876
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596614425825
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1596614425888
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1596614427457
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1596614427480
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596614427706
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596614435627
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596614435716
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596614438697
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596614447155
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596614455205
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596614457183
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596614478171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596614478237
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596614482794
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596614507741
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596615271317
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596615274517
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596616388675
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1596616388717
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596616390652
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596619166938
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1596619166951
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596619168012
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596619171418
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596619172577
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596619608015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596619616017
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596619636553
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596619636630
