what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464919955
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1596464922169
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1596464923178
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1596464931397
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464935824
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464963392
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1596464963456
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1596464963509
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464965786
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464973538
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1596464974986
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464982913
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464991166
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1596464992791
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1596465004234
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1596465006943
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465009334
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465018407
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1596465020131
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1596465020160
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465040143
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465040219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465040269
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465042955
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1596465051838
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465056677
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465067121
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465077580
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465077705
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1596465077723
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465085365
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465085497
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465087798
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465087904
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465089875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465089930
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465095916
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465096059
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465099343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465099415
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465103159
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465103281
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465107266
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465107363
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1596465112242
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465113774
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465118284
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1596465118662
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1596465146183
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1596465155037
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465161586
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465209997
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465221759
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1596465234055
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1596465234076
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465234105
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1596465238627
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465244480
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465331310
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465343909
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465360728
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465369096
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465371858
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1596465372548
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1596465373300
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1596465374427
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1596465383433
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1596465383872
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465416472
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465436580
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465464709
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465491035
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1596465528176
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465534658
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465545847
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1596465545858
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465562821
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465592197
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465592240
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465638605
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465642897
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465644428
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465645039
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465912596
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465912685
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465914514
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596465929800
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596525407369
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596525407484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596525409054
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596525409161
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1596525409372
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1596525409374
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1596525409375
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1596525409375
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1596525409376
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1596525409376
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1596525409376
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1596525409376
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1596525409377
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1596525409377
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1596525409384
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1596525409385
