what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596463959158
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596463978454
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1596463981422
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1596463981568
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1596463989717
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596463993679
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596463993905
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596463994217
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464011990
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464013856
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464028821
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464036971
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464038326
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1596464044823
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1596464045023
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1596464051458
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1596464051471
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1596464052370
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1596464052385
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1596464053261
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464078644
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464099344
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464105780
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464109927
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1596464109937
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAutomatically",1596464118701
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464128847
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464130430
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1596464130934
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464134291
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464135396
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464139697
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464141130
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1596464149520
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1596464157913
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464164113
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464168270
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1596464168280
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464172415
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464174913
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1596464176084
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464186431
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464203126
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1596464203143
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1596464212806
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464214358
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464216501
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1596464216510
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1596464218442
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1596464219279
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464223574
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464235912
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1596464240217
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464242841
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464244380
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1596464244580
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1596464247443
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464264131
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464264156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464264207
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464281465
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464281482
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464281510
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1596464281519
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464299355
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464300839
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1596464301008
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1596464301300
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1596464301310
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1596464301310
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1596464301310
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1596464301310
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1596464301310
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1596464301310
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1596464301310
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1596464301310
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1596464301324
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1596464301355
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1596464301356
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1596464301356
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1596464301356
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1596464301356
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1596464301356
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1596464301362
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1596464301363
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1596464301363
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1596464301363
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1596464301363
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1596464301363
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1596464301363
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1596464301363
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1596464301363
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.help.ui",1596464301363
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1596464301363
